,genes,logfoldchange,pvals
0,LINC00958,4.841948509216309,7.25425067392095e-77
1,LINC00973,3.737417697906494,0.012748403980316245
2,SRGN,3.512310743331909,1.0480106248799115e-41
3,TGM2,3.188541889190674,0.0002409100591970227
4,RP11-350J20.12,3.1057937145233154,0.0010148420541699569
5,FHL1,2.9978809356689453,2.008118153960502e-234
6,COL13A1,2.9235775470733643,0.0006025948544984993
7,PTGS1,2.8970742225646973,9.718551839330557e-31
8,WIPF3,2.8525779247283936,9.336653583695471e-05
9,ETV4,2.835275173187256,2.356326152052714e-22
10,BAIAP2L2,2.821655035018921,5.778885824706386e-30
11,BATF3,2.7548410892486572,0.0007065927756261988
12,EBF3,2.748800277709961,0.006907885326534246
13,ETV1,2.717290163040161,0.04754146637176448
14,FOSL1,2.5906026363372803,4.59757578356907e-285
15,MMP1,2.5702831745147705,2.7003342069468812e-105
16,SH3PXD2A-AS1,2.4226877689361572,3.0314178201869878e-05
17,NEURL1,2.4135098457336426,2.2964870567408438e-172
18,ETV5,2.3918957710266113,1.5623987967865386e-23
19,THY1,2.3862364292144775,0.032037149882575444
20,G0S2,2.384450674057007,1.0745771890869574e-159
21,JPH3,2.3546195030212402,0.01847934968343998
22,PPP1R1C,2.3356218338012695,0.0005787365467805706
23,FST,2.3347556591033936,1.6344070838292541e-84
24,KLRG2,2.286926031112671,0.0007835152339907274
25,PGF,2.257171630859375,2.129973545488356e-07
26,LY6D,2.2226383686065674,1.29460872531759e-218
27,TMEM171,2.2095932960510254,2.9442885590281067e-06
28,INA,2.206846237182617,3.065312980613527e-05
29,SLC35F3,2.2046260833740234,0.0015457596539491317
30,LINC00941,2.1942710876464844,8.555855838900171e-14
31,POLR3G,2.1930935382843018,1.175009731767833e-53
32,ADTRP,2.1580522060394287,6.780071901447078e-06
33,CCBE1,2.150209426879883,0.00016461516121493656
34,ANKRD1,2.149202823638916,6.540031839493267e-26
35,KCNMA1,2.1329052448272705,0.029347981344496482
36,AJAP1,2.0926005840301514,0.02622778720490563
37,CCNA1,2.058286190032959,5.258954357189513e-35
38,GAL,2.0357918739318848,0.0
39,MICAL2,2.033235788345337,2.5406219360388156e-25
40,TMEM200A,2.0111522674560547,0.000547359692104122
41,HBM,2.008147954940796,2.1666827580925897e-07
42,SLC43A3,1.9655734300613403,1.2684702125717518e-23
43,ABCG2,1.9521348476409912,7.935748485152419e-13
44,HLA-G,1.950122594833374,1.5302034070925258e-148
45,CCDC86,1.9305472373962402,4.409953768549758e-40
46,TEX40,1.918669581413269,1.401762838686605e-35
47,RFTN1,1.9153697490692139,0.0012141835826978305
48,KISS1R,1.9022196531295776,0.02180950285382367
49,OXTR,1.9006694555282593,6.761199876169502e-07
50,MT1A,1.898837924003601,0.00011954613980001383
